,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
532,The Pulitzer at 100,First Run,"$4,489",1,"$2,577",57.4%,1,Jul 21,Jul 27,False,TV-14,Documentary,English,N/A,N/A,N/A,Kirk Simon,N/A,"John Adams, Ayad Akhtar, Jim Amoss, Martin Baron",91 min,"The Pulitzer at 100, by Oscar and Emmy winning director Kirk Simon, is a ninety-minute independent documentary released in the Pulitzer's 100th year. The film is told through the riveting ...",tt5843574,6.5,37,43
533,Inspector Maigret,Kino Lorber,"$8,528",1,"$2,556",30%,1,Oct 20,Nov 16,False,N/A,"Crime, Drama",French,Nominated for 3 BAFTA Film Awards. Another 1 win.,N/A,N/A,Jean Delannoy,"Georges Simenon (novel), Jean Delannoy (adaptation), Rodolphe-Maurice Arlaud (adaptation), Michel Audiard (adaptation), Michel Audiard (dialogue)","Jean Gabin, Annie Girardot, Olivier Hussenot, Jeanne Boitel",119 min,A serial killer is targeting women in the seedy district of Montmartre.,tt0050669,7.2,"1,324",N/A
534,Paradise,Film Movement,"$14,685",3,"$2,401",16.4%,1,Oct 6,Dec 14,False,PG-13,"Comedy, Drama",English,N/A,12 Nov 2013,N/A,Diablo Cody,Diablo Cody,"Julianne Hough, Holly Hunter, Nick Offerman, Phil Austin",86 min,After surviving a plane crash a young conservative woman suffers a crisis of faith.,tt1262990,5.0,"3,278",35
535,Finding Oscar,FilmRise,"$23,116",16,"$2,365",10.2%,1,Apr 14,May 18,False,N/A,"Documentary, Crime, Drama, History, Mystery","English, Spanish",6 wins.,N/A,"$21,246",Ryan Suffern,"Mark Monroe, Ryan Suffern","Kate Doyle, Scott Greathead, Fredy Peccerelli, Sebastian Rotella",100 min,FINDING OSCAR is a feature length documentary about the search for justice in the devastating case of the Dos Erres massacre in Guatemala. That search leads to the trail of two little boys ...,tt5719232,7.1,170,72
536,School Life,Magnolia Pictures,"$37,381",13,"$2,332",6.2%,1,Sep 8,Oct 26,False,N/A,"Comedy, Drama","French, Arabic",N/A,N/A,N/A,"Mehdi Idir, Grand Corps Malade","Mehdi Idir (screenplay), Grand Corps Malade (screenplay)","Shirley Attia, Moukthar Baradji, Chirine Bassaoui, Natalie Beder",111 min,The daily life of a school located in Saint Denis.,tt8783532,7.0,311,N/A
537,Frank Serpico,IFC Films,"$11,925",6,"$2,283",19.1%,1,Nov 1,Nov 19,False,Unrated,"Documentary, Biography",English,N/A,N/A,N/A,Antonino D'Ambrosio,"Antonino D'Ambrosio, Antonino D'Ambrosio","Frank Serpico, Stanislao Pugliese, Janet Panetta, John O'Connor",98 min,"In his own words, Frank Serpico tells the story of his one-man crusade for police reform in the NYPD during the early 1970s.",tt6794376,6.8,207,68
538,Saigon Bodyguards,CJ Entertainment,"$8,459",2,"$2,252",26.6%,1,Feb 3,Mar 19,False,N/A,"Action, Comedy",Vietnamese,N/A,N/A,N/A,Ken Ochiai,"Ken Ochiai (story), Michael Thai (screenplay), Michael Thai (story)","Thai Hoa, Kim Ly, Chi Pu, Be Tran",N/A,Saigon Bodyguards follows the intense and hilarious journey of two professional bodyguards tasked with their most important assignment ever.,tt5514372,1.7,290,N/A
539,Dream Boat,Strand Releasing,"$3,981",1,"$2,199",55.2%,1,Nov 3,Nov 16,False,Not Rated,Documentary,"English, German, French, Arabic",1 nomination.,N/A,N/A,Tristan Ferland Milewski,N/A,"Michael A., Amit, Michael Anastasio, Ansgar",92 min,"Once a year, the Dream Boat sets sail - a cruise only for gay men. Far from their families and political restrictions, we follow five men from five countries on a quest for their dreams. ...",tt6627466,5.3,"1,282",56
540,Reset,FilmRise,"$3,768",2,"$2,198",58.3%,2,Jan 13,Feb 9,False,N/A,"Action, Sci-Fi",Mandarin,1 nomination.,06 Feb 2018,"$98,574",Hong-Seung Yoon,N/A,"Mi Yang, Wallace Huo, Shih-Chieh King, Chang Liu",105 min,"When her son is kidnapped, the inventor of a time machine teams up with multiple versions of her future self to rescue him.",tt5342650,5.3,865,N/A
541,Man Underground,Indican Pictures,"$18,839",5,"$2,194",11.6%,3,Jul 14,Sep 21,False,R,"Drama, Sci-Fi",English,1 win.,N/A,N/A,"Michael Borowiec(co-director), Sam Marine(co-director)","Michael Borowiec, Sam Marine","George Basil, Andy Rocco, Pamela Fila, Felix Hagen",95 min,A reclusive conspiracy theorist enlists people from his small town to help him make a low-budget movie about his experience encountering aliens while working as a geologist for the US government.,tt5086772,6.3,113,N/A
542,The Challenge,Kino Lorber,"$9,592",5,"$2,171",22.6%,1,Sep 8,Dec 14,False,G,"Adventure, Comedy, Family",English,N/A,25 Nov 2003,N/A,Craig Shapiro,"Elizabeth Kruger (screenplay), Michael Swerdlick (screenplay), Michael Swerdlick (story)","Ashley Olsen, Mary-Kate Olsen, Brian Skala, Lukas Behnken",92 min,"It's an action adventure/adventure comedy. They play estranged twins with very opposite personalities. Lizzie is very focused and driven, while Shane is more relaxed, but concerned about ...",tt0365043,5.2,"2,765",N/A
543,Company Town,First Run,"$3,014",1,"$2,150",71.3%,1,Sep 8,Dec 14,False,N/A,Drama,English,N/A,N/A,N/A,Thomas Carter,"Elwood Reid (creator), Elwood Reid","Sherry Stringfield, Michael Michele, Will Beinbrink, Catherine Bell",8 min,A look at the lives of government agents who all live in the same Washington D.C. neighborhood.,tt0497893,6.7,84,N/A
544,Miles,Freestyle Releasing,"$2,537",2,"$2,147",84.6%,2,Jun 9,Jun 15,False,Unrated,"Comedy, Drama, Family, Sport",English,6 wins & 1 nomination.,N/A,N/A,Nathan Adloff,"Nathan Adloff, Justin D.M. Palmer","Tim Boardman, Molly Shannon, Stephen Root, Will Erat",90 min,"A kid from middle America, desperate to move to Chicago, joins the volleyball team to get a scholarship - the only catch is that his high school only has a girls team.",tt4066836,5.7,541,N/A
545,Beside Bowie: The Mick Ronson Story,Parade Deck Films,"$11,400",2,"$2,100",18.4%,1,Aug 25,Sep 10,False,N/A,Documentary,English,N/A,27 Oct 2017,"$11,400",Jon Brewer,Scott Rowley,"David Bowie, Mick Ronson, Mary Finnigan, Bob Harris",102 min,"The story of Mick Ronson, the guitar great who helped to create the sound of David Bowie's hugely influential glam rock years.",tt7135152,7.4,172,N/A
546,Porto,Kino Lorber,"$13,784",2,"$2,090",15.2%,1,Nov 17,Feb 15,False,R,"Drama, Romance","English, Portuguese, French",3 wins & 8 nominations.,13 Mar 2018,"$11,823",Gabe Klinger,"Larry Gross, Gabe Klinger","Anton Yelchin, Lucie Lucas, Paulo Calatré, Françoise Lebrun",76 min,"Jake and Mati are two outsiders in Porto who once experienced a brief connection. A mystery remains about the moments they shared, and in searching through memories, they relive the depths of a night uninhibited by the consequences of time.",tt4446472,6.1,"1,434",48
547,The Eyes,Parade Deck Films,"$9,104",3,"$2,075",22.8%,1,Apr 7,Jun 25,False,N/A,"Crime, Drama, Mystery, Thriller",English,1 win.,N/A,N/A,Robbie Bryan,Robert T. Roe,"Nicholas Turturro, Vincent Pastore, Megan West, Ana Isabelle",95 min,"6 strangers are kidnapped and through governmental technology have proof they have all killed before and are told 5 will die this night, one may walk, and the six have 2 hours to decide who gets to live.",tt4902260,5.0,608,N/A
548,The Woman Who Left,Kino Lorber,"$3,784",1,"$2,018",53.3%,1,May 19,Jun 29,False,TV-MA,Drama,"Filipino, Tagalog, English, Japanese",3 wins & 24 nominations.,N/A,N/A,Lav Diaz,"Lav Diaz (screenplay), Leo Tolstoy (inspired by his short story ""God Sees the Truth,  But Waits"")","Charo Santos-Concio, John Lloyd Cruz, Michael De Mesa, Nonie Buencamino",226 min,"After 30 years of wrongful imprisonment, a woman plans to take revenge on her former lover.",tt5843990,7.3,998,83
549,The Man from Outer Space,Indican Pictures,"$20,102",2,"$1,962",9.8%,2,Sep 8,Nov 23,False,N/A,"Short, Drama",N/A,N/A,N/A,N/A,Ben Hall,"Ben Hall, Daniel Parra","Laura Godwin, Brian Mahnke",10 min,N/A,tt1946450,N/A,N/A,N/A
550,Scum,Kino Lorber,"$6,461",1,"$1,948",30.2%,1,Jun 16,Jul 13,False,R,"Crime, Drama",English,N/A,28 Feb 2006,N/A,Alan Clarke,Roy Minton,"Ray Winstone, Mick Ford, Julian Firth, John Blundell",98 min,An uncompromising story of life in a British juvenile offender institution in the 70's.,tt0079871,7.6,"9,236",N/A
551,Abracadabra,Sony Pictures Releasing,"$13,975",10,"$1,942",13.9%,10,Sep 15,Dec 7,False,R,"Comedy, Drama, Fantasy",Spanish,1 win & 23 nominations.,N/A,"$2,116",Pablo Berger,Pablo Berger,"Maribel Verdú, Antonio de la Torre, Priscilla Delgado, Javier Antón",96 min,A housewife struggles with her husband after he is possessed by a ghost.,tt5187886,6.0,"2,029",N/A
552,7 Witches,Indican Pictures,"$28,331",4,"$1,875",6.6%,1,Apr 21,Jun 25,False,Not Rated,"Horror, Thriller",English,N/A,09 May 2017,"$31,100",Brady Hall,"Ed Dougherty, Brady Hall","Persephone Apostolou, Danika Golombek, Megan Hensley, Macall Gordon",75 min,"Carnage, death, and despair await the ignoble remnants of a persecuted family who assemble for the wedding of their daughter on the eve of an evil 100-year-old curse.",tt4424722,3.6,628,N/A
553,The Sunshine Makers,FilmRise,"$10,042",7,"$1,874",18.7%,1,Jan 20,Feb 9,False,N/A,"Documentary, History",English,1 nomination.,N/A,N/A,Cosmo Feilding-Mellen,Connie Littlefield,"Nick Sand, Tim Scully",101 min,"The story of Nicholas Sand and Tim Scully, the unlikely duo at the heart of 1960s American drug counter-culture.",tt4456270,7.0,"1,053",68
554,Served Like a Girl,Entertainment Studios Motion Pictures,"$8,290",8,"$1,844",22.2%,4,Aug 25,Sep 21,False,N/A,Documentary,English,1 win & 3 nominations.,N/A,"$8,237",Lysa Heslov,"Tchavdar Georgiev, Lysa Heslov","Nichole Alred, Jas Boothe, Rachel Engler, Hope Garcia",103 min,"Director Lysa Heslov's documentary, ""Served Like a Girl, provides a candid look at several American women as they transition from active duty to civilian life after serving tours of duty in...",tt6175710,7.8,53,85
555,1898. Los últimos de Filipinas,Sony Pictures Releasing,"$2,848",10,"$1,844",64.7%,10,Mar 3,Mar 9,False,R,"Drama, History, War",Spanish,1 win & 16 nominations.,N/A,N/A,Salvador Calvo,Alejandro Hernández,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde",105 min,A soldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,tt5698568,6.5,"2,050",N/A
556,Paradise Club,Indican Pictures,"$22,381",3,"$1,758",7.9%,2,Sep 8,Nov 16,False,R,"Drama, History",English,N/A,N/A,N/A,Carolyn Cavallero,"Carolyn Cavallero, Carolyn Cavallero","Elizabeth Rice, Eric Roberts, Evan Williams, Nicole Arianna Fox",93 min,"During the height of the social revolution, a young dancer searches for salvation when she chooses to leave paradise.",tt2540136,6.5,17,N/A
557,Thirst Street,The Samuel Goldwyn Company,"$8,434",3,"$1,737",20.6%,1,Sep 22,Nov 23,False,Unrated,"Comedy, Drama, Romance","French, English",2 wins & 2 nominations.,N/A,N/A,Nathan Silver,"Nathan Silver, C. Mason Wells","Lindsay Burdge, Anjelica Huston, Esther Garrel, Lola Bessis",83 min,"Gina, an American flight attendant, falls in with a Parisian bartender on a layover only to find herself tangled in a web of deception, delusion and unrequited amour fou.",tt5802404,5.9,387,71
558,Lovesong,Strand Releasing,"$3,261",3,"$1,718",52.7%,1,Feb 17,Apr 27,False,Not Rated,"Drama, Romance",English,1 win & 3 nominations.,N/A,"$10,545",So Yong Kim,"So Yong Kim, Bradley Rust Gray","Riley Keough, Jessie Ok Gray, Cary Joji Fukunaga, Jena Malone",84 min,The relationship between two friends deepens during an impromptu road trip.,tt4305148,6.3,"3,391",74
559,Félicité,Strand Releasing,"$10,503",5,"$1,713",16.3%,1,Oct 27,Jan 25,False,N/A,"Drama, Music","Lingala, French",6 wins & 8 nominations.,N/A,N/A,Alain Gomis,"Alain Gomis (screenplay), Olivier Loustau (collaboration), Delphine Zingg (collaboration)","Véro Tshanda Beya Mputu, Gaetan Claudia, Papi Mpaka, Nadine Ndebo",129 min,"Félicité sings in a bar in Kinshasa. When her 14-year-old son has a motorcycle accident, she goes on a frantic search through the streets of Kinshasa, a world of music and dreams. And her path crosses that of Tabu.",tt5980798,6.4,759,75
560,Suntan,Strand Releasing,"$6,199",1,"$1,629",26.3%,1,Mar 10,Jun 1,False,Unrated,Drama,"Greek, English",5 wins & 2 nominations.,N/A,N/A,Argyris Papadimitropoulos,"Argyris Papadimitropoulos, Syllas Tzoumerkas","Makis Papadimitriou, Elli Tringou, Hara Kotsali, Milou Van Groesen",104 min,"On a hedonistic Greek island, a middle-aged doctor becomes obsessed with a young tourist when she lets him tag along with her group of hard partying friends.",tt3954660,6.6,"4,931",59
561,Trespass Against Us,A24,"$5,711",20,"$1,620",28.4%,20,Jan 20,Feb 16,False,R,"Action, Crime, Drama, Thriller",English,5 nominations.,07 Mar 2017,N/A,Adam Smith,Alastair Siddons,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith",99 min,A man looks to find a way to escape the criminal ways of his outlaw family.,tt3305308,5.8,"6,809",50
562,Dayveon,FilmRise,"$2,077",3,"$1,592",76.6%,3,Sep 13,Sep 21,False,N/A,Drama,English,2 wins & 2 nominations.,N/A,"$2,200",Amman Abbasi,"Amman Abbasi, Steven Reneau","Devin Blackmon, Dontrell Bright, Lachion Buckingham, Kordell Johnson",75 min,"In the wake of his older brother's death, 13-year-old Dayveon spends the sweltering summer days roaming his rural Arkansas town. When he falls in with a local gang, he becomes drawn to the camaraderie and violence of their world.",tt6266218,6.3,357,69
563,Night School,Oscilloscope,"$4,663",2,"$1,588",34.1%,1,Jun 9,Jun 29,False,PG-13,Comedy,"English, Spanish, French, Arabic",N/A,01 Jan 2019,N/A,Malcolm D. Lee,"Kevin Hart, Harry Ratchford, Joey Wells, Matthew Kellard, Nicholas Stoller, John Hamburg","Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",111 min,A group of high school dropouts are forced to attend night school in hope that they'll pass the GED exam to finish high school.,tt6781982,5.6,"27,641",43
564,Kepler's Dream,-,"$2,923",11,"$1,582",54.1%,11,Dec 1,Dec 14,False,N/A,"Adventure, Drama, Family",English,1 nomination.,01 Dec 2017,N/A,Amy Glazer,"Sylvia Brownrigg, Ann Cummins, Amy Glazer, Vijay Rajan","Tailinh Agoyo, Isabella Blake-Thomas, Ryan Jason Cook, Leedy Corbin",90 min,An 11 year old girl searches for a missing rare book from her grandmother's (Holland Taylor) library and tries to understand why her family is fractured the way it is during a memorable ...,tt3906724,6.3,6,N/A
565,Seven Beauties,Kino Lorber,"$8,245",2,"$1,536",18.6%,1,Apr 14,Jun 15,False,R,"Comedy, Drama, War","Italian, German, Neapolitan, Spanish",Nominated for 4 Oscars. Another 2 wins & 5 nominations.,06 Oct 1998,"$11,962",Lina Wertmüller,Lina Wertmüller,"Giancarlo Giannini, Fernando Rey, Shirley Stoler, Elena Fiore",116 min,"The defense of honor, a strong value in Neapolitan society, and his effects on the life of everyman Pasquale Frafuso.",tt0075040,7.8,"4,487",N/A
566,The Dark Below,Parade Deck Films,"$5,758",3,"$1,526",26.5%,1,Mar 10,Apr 30,False,UNRATED,Thriller,English,N/A,N/A,N/A,Douglas Schulze,"Douglas Schulze (story by), Jonathan D'Ambrosio, Douglas Schulze (screenplay)","Lauren Mae Shafer, David G.B. Brown, Veronica Cartwright, Arielle Olkhovsky",75 min,A woman struggles for survival beneath a frozen lake while a serial killer stalks her from the surface.,tt3591696,4.5,222,N/A
567,Last Men in Aleppo,Grasshopper Film,"$12,696",5,"$1,505",11.9%,1,May 5,-,False,Not Rated,"Documentary, War",Arabic,Nominated for 1 Oscar. Another 18 wins & 13 nominations.,27 Mar 2018,N/A,"Feras Fayyad, Steen Johannessen(co-director)",Feras Fayyad,"Khaled Umar Harah, Batul, Mahmoud, Abu Umar",83 min,"Khaled, Mahmoud and Subhi volunteer with the White Helmets trying to save lives of hundreds of victims in the besieged city of Aleppo during the Syrian Civil War.",tt6333074,7.4,"2,336",80
568,Tomorrow,Under The Milky Way,"$62,510",20,"$1,480",2.4%,1,Mar 10,-,False,G,Documentary,"English, French, Finnish",1 win & 1 nomination.,N/A,N/A,"Cyril Dion, Mélanie Laurent",Cyril Dion,"Anthony Barnosky, Olivier De Schutter, Cyril Dion, Emmanuel Druon",118 min,"Climate is changing. Instead of showing all the worst that can happen, this documentary focuses on the people suggesting solutions and their actions.",tt4449576,8.1,"2,830",71
569,"Accidental Courtesy: Daryl Davis, Race & America",First Run,"$1,940",1,"$1,452",74.8%,1,Jan 6,Jan 12,False,N/A,"Documentary, Biography, History",English,2 wins & 3 nominations.,N/A,"$1,452",Matthew Ornstein,N/A,"Daryl D. Davis, Kenneth Nwadike, Michael Wood Jr.",96 min,"Daryl Davis is an accomplished musician who was played all over the world. He also has an unusual hobby, particularly for a middle aged black man. When not displaying his musical chops, ...",tt5390430,7.6,935,63
570,Contemporary Color,Oscilloscope,"$6,395",5,"$1,451",22.7%,1,Mar 1,Apr 27,False,PG-13,"Documentary, Music",English,5 wins & 5 nominations.,N/A,"$15,275","Bill Ross IV, Turner Ross",N/A,"Simon Bennett, David Byrne, Christian Delmotte, Nelly Furtado",97 min,"In the summer of 2015, legendary musician David Byrne staged an event at Brooklyn's Barclays Center to celebrate the art of Color Guard: synchronized dance routines involving flags, rifles,...",tt5258306,6.2,118,79
571,Irreplaceable,Distrib Films,"$5,116",3,"$1,443",28.2%,2,Feb 2,-,False,N/A,"Comedy, Drama",French,2 nominations.,N/A,N/A,Thomas Lilti,"Thomas Lilti (screenplay), Baya Kasmi (screenplay), Thomas Lilti (original idea), Khalladi Shérazade (scenario consultant)","François Cluzet, Marianne Denicourt, Christophe Odent, Patrick Descamps",102 min,"After a doctor is diagnosed with cancer, a new doctor joins him to help him treat his rural patients.",tt5078326,6.5,"2,396",N/A
572,Who's Crazy?,Kino Lorber,"$3,141",2,"$1,355",43.1%,1,Mar 10,Jun 15,False,N/A,Drama,English,N/A,N/A,"$3,045","Thomas White, Allan Zion","Thomas White, Allan Zion","Wimme Andre, Melvin Clay, Tom Edmonston, Carl Einhorn",73 min,Patients from an insane asylum find refuge at a farmhouse after escaping from a bus.,tt4775814,6.5,11,77
573,Soul on a String,Film Movement,"$3,555",2,"$1,355",38.1%,2,May 19,Jul 6,False,N/A,Drama,Tibetan,1 win & 7 nominations.,12 Sep 2017,"$3,555",Yang Zhang,"Yang Zhang, Zhaxidawa","Quni Ciren, Kimba, Siano Dudiom Zahi",142 min,A killer is entrusted with a sacred mission.,tt5974624,6.7,131,N/A
574,Escapes,Grasshopper Film,"$15,712",4,"$1,339",8.5%,1,Jul 28,-,False,N/A,"Drama, Horror",English,N/A,11 Sep 1993,N/A,David Steensland,David Steensland,"Vincent Price, Todd Fulton, Jerry Grisham, Michael Patton-Hall",72 min,"An anthology of five tales of terror, each originally produced for video. The titles are ""Something's Fishy,"" ""Coffee Break,"" ""Who's There,"" ""Jonah's Dream,"" and ""Think Twice.""",tt0091016,4.6,129,N/A
575,Saving Banksy,Parade Deck Films,"$46,740",6,"$1,317",2.8%,1,Jan 13,Apr 30,False,Unrated,Documentary,English,1 win & 1 nomination.,N/A,"$47,965",Colin M. Day,"Éva Boros (story), Paul Polycarpou","Ben Eine, Glen E. Friedman, Kelly 'Risk' Graval, Doze Green",80 min,"Internationally known graffiti artist, Banksy, left his mark on San Francisco in April 2010. Little did he know that this act of vandalism would spark a chain of events that includes one of...",tt4036488,6.8,943,73
576,Dans les pas de Trisha Brown,Icarus Films,"$6,230",4,"$1,232",19.8%,1,Feb 7,-,False,N/A,Documentary,French,N/A,N/A,N/A,Marie-Hélène Rebois,Marie-Hélène Rebois,N/A,79 min,N/A,tt6088298,N/A,N/A,N/A
577,Amnesia,Film Movement,"$5,073",2,"$1,202",23.7%,1,Jul 21,Aug 17,False,N/A,Drama,"French, German, Spanish, Russian, Catalan",1 nomination.,31 Aug 2015,N/A,Barbet Schroeder,"Emilie Bickerton (screenplay), Peter F. Steinbach (screenplay), Susan Hoffman (screenplay), Barbet Schroeder (screenplay)","Marthe Keller, Max Riemelt, Bruno Ganz, Corinna Kirchhoff",96 min,"Jo has come to Ibiza to be a DJ in the club Amnesia. He befriends a solitary woman who's trying to forget her past. As Jo draws her into techno music, Martha puts everything she had previously lived by into question.",tt3774092,6.1,843,59
578,Demons,-,"$2,671",3,"$1,202",45%,2,Oct 5,Oct 19,False,Not Rated,Horror,Italian,2 nominations.,11 Nov 2014,N/A,Lamberto Bava,"Dardano Sacchetti (original story), Dario Argento (screenplay), Lamberto Bava (screenplay), Dardano Sacchetti (screenplay), Franco Ferrini (screenplay)","Urbano Barberini, Natasha Hovey, Karl Zinny, Fiore Argento",88 min,"A group of random people are invited to a screening of a mysterious movie, only to find themselves trapped in the theater with ravenous demons.",tt0089013,6.7,"18,305",N/A
579,Emily,-,"$3,982",2,"$1,164",29.2%,1,Jan 27,Apr 30,False,N/A,"Short, Drama",English,N/A,N/A,N/A,Caroline Harvey,Caroline Harvey,"Felicity Jones, Christopher Eccleston, Vic Waghorn",12 min,"EMILY puts two English characters within the framework of a stereotypically French film, deconstructing a common sexual fantasy to explore the moment two strangers meet and attempt to fill their loneliness with each others' need.",tt2582230,7.1,36,N/A
580,The Skyjacker's Tale,Strand Releasing,"$2,788",2,"$1,097",39.3%,1,Jun 30,Sep 21,False,N/A,Documentary,English,2 nominations.,N/A,"$6,253",Jamie Kastner,Jamie Kastner,"Ishmael Muslim Ali, Daniela Biz, Tainya-Sue Brown, Isabella Carr",75 min,"After five citizens of the Virgin Islands are convicted in the 1970s of a massacre at one of the island's fancy country clubs, their ostensible leader stages a skyjacking and escapes to Cuba.",tt5938234,6.1,57,54
581,Swept Away,Kino Lorber,"$5,096",2,"$1,011",19.8%,1,Apr 14,Jun 15,False,R,"Comedy, Romance","English, Greek, Italian",8 wins & 8 nominations.,11 Feb 2003,"$553,102",Guy Ritchie,Guy Ritchie (screenplay),"Bruce Greenwood, Madonna, Elizabeth Banks, Michael Beattie",89 min,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,tt0291502,3.6,"14,560",18
582,The Outcasts,-,"$1,455",11,"$1,008",69.3%,11,Apr 14,Apr 20,False,PG-13,Comedy,English,N/A,14 Apr 2017,N/A,Peter Hutchings,"Dominique Ferrari, Suzanne Wrubel","Victoria Justice, Eden Sher, Ashley Rickards, Avan Jogia",95 min,"After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends.",tt2597760,5.5,"3,219",47
583,The Penguin Counters,First Run,$976,1,$976,100%,1,Apr 21,Apr 23,False,N/A,"Documentary, Adventure",English,N/A,N/A,$976,"Peter Getzels, Harriet Gordon Getzels, Erik Osterholm",Harriet Getzels,N/A,67 min,"Armed with low tech gear and high minded notions that penguin populations hold the key to human survival, Ron Naveen lays bare his 30 year love affair with the world's most pristine ...",tt4094598,N/A,N/A,N/A
584,Massacre on Aisle 12,Indican Pictures,"$21,106",3,$967,4.6%,1,Jan 27,May 11,False,Not Rated,"Comedy, Horror",N/A,1 win & 4 nominations.,N/A,N/A,"Jim Klock(co-director), William Mark McCullough(co-director)","Chad Ridgely, A.J. Via","Chad Ridgely, Michael Buonomo, Jim Klock, Doug Burch",83 min,A hardware store employee's first night on the job is disrupted by the discovery of a dead body and a duffel bag full of cash.,tt4010862,5.2,"1,203",N/A
585,Behind the White Glasses,Kino Lorber,"$1,671",1,$900,53.9%,1,Apr 21,Jun 15,False,N/A,"Documentary, Biography","English, Italian",1 win & 2 nominations.,N/A,N/A,Valerio Ruiz,Valerio Ruiz,"Martin Scorsese, Rutger Hauer, Sophia Loren, Nastassja Kinski",112 min,"It is a musical portrait that shines a spotlight on unknown aspects of the creative, visionary and groundbreaking talent of filmmaker and writer, Lina Wertmüller.",tt2721510,8.4,185,N/A
586,A Different American Dream,First Run,"$1,172",1,$848,72.4%,-,Jan 6,Jan 12,False,N/A,Documentary,English,N/A,N/A,N/A,Simon Brook,"Simon Brook, Jane Wells",N/A,84 min,In North Dakota an Indian nation finds itself at a critical moment in its long history. The Three Affiliated Tribes face catastrophic damage to their land and culture as a result of the recent oil boom on the Fort Berthold Reservation.,tt5095472,7.6,5,N/A
587,We Are the Flesh,Arrow Films,"$8,110",3,$835,10.3%,3,Jan 13,Feb 26,False,Not Rated,"Drama, Fantasy, Horror",Spanish,4 wins & 6 nominations.,N/A,N/A,Emiliano Rocha Minter,Emiliano Rocha Minter,"Noé Hernández, María Evoli, Diego Gamaliel, Gabino Rodríguez",79 min,"After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.",tt4682708,4.7,"1,877",62
588,It's Not Yet Dark,FilmRise,"$1,227",2,$811,66.1%,2,Aug 4,Aug 10,False,N/A,Documentary,English,2 wins & 8 nominations.,N/A,N/A,Frankie Fenton,N/A,"Simon Fitzmaurice, Ruth Fitzmaurice, Damien Fitzmaurice, Florence Fitzmaurice",81 min,"It's Not Yet Dark tells the ground breaking story of Simon Fitzmaurice, a talented young Irish film maker with ALS (MND), as he embarks on directing his first feature film through the use of his eyes and eye gaze technology.",tt5433330,7.7,154,75
589,After Love,Distrib Films,"$11,662",5,$810,6.9%,1,Aug 9,Sep 28,False,N/A,Drama,French,3 wins & 2 nominations.,21 Nov 2017,"$13,621",Joachim Lafosse,"Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Thomas van Zuylen (collaborating writer)","Bérénice Bejo, Cédric Kahn, Marthe Keller, Jade Soentjens",100 min,"After 15 years of marriage, a couple with two kids is about to divorce. Until the husband find a new place to live, they have to cohabit, and figure out how to share their belongings.",tt4746484,6.5,"1,730",66
590,I Dream in Another Language,FilmRise,"$2,739",1,$810,29.6%,1,Jul 28,Aug 10,False,Unrated,"Drama, Romance","Spanish, English",8 wins & 3 nominations.,N/A,N/A,Ernesto Contreras,Carlos Contreras,"Fernando Álvarez Rebeil, José Manuel Poncelis, Eligio Meléndez, Fátima Molina",103 min,"When a language dies, a unique vision of the world is lost forever.",tt3278224,7.4,"1,971",64
591,The Tribes of Palos Verdes,IFC Films,"$11,603",9,$796,6.9%,1,Dec 1,Dec 17,False,R,Drama,English,1 win.,10 Apr 2018,N/A,"Brendan Malloy, Emmett Malloy","Karen Croner (screenplay by), Joy Nicholson (based on the novel by)","Maika Monroe, Cody Fern, Jennifer Garner, Justin Kirk",104 min,"When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.",tt1507571,5.8,"1,800",49
592,Extraordinary Ordinary People,First Run,$880,1,$744,84.5%,1,Sep 15,Sep 21,False,N/A,Documentary,English,N/A,N/A,$744,Alan Govenar,"Alan Govenar, Jason Johnson-Spinos",N/A,84 min,N/A,tt7379362,N/A,N/A,N/A
593,Starless Dreams,The Cinema Guild,"$5,937",2,$707,11.9%,1,Jan 20,Jul 2,False,N/A,Documentary,Persian,9 wins & 2 nominations.,N/A,N/A,Mehrdad Oskouei,Mehrdad Oskouei,N/A,76 min,"Teenage girls consigned to the Iranian ""Correctional and Rehabilitation Centre"" discuss their troubled lives and reveal what brought them there.",tt5350800,8.0,165,85
